nom,region,departement,sous_prefecture,latitude,longitude,population
Abidjan,Abidjan,,,5.3167,-4.0333,4980000
Yopougon,Abidjan,,,5.3167,-4.0667,1571065
Cocody,Abidjan,,,5.3500,-3.9667,692583
Bouaké,Vallée du Bandama,,,7.6833,-5.0167,659233
Port-Bouët,Abidjan,,,5.2667,-3.9000,618795
Daloa,Sassandra-Marahoué,,,6.8833,-6.4500,421871
Koumassi,Abidjan,,,5.3000,-3.9500,412282
San-Pédro,Bas-Sassandra,,,4.7500,-6.6333,390654
Attiecoubé,Abidjan,,,5.3333,-4.0333,313135
Korhogo,Savanes,,,9.4167,-5.6167,286071
Gagnoa,Gôh-Djiboua,,,6.1333,-5.9333,277044
Soubré,Bas-Sassandra,,,5.7833,-6.6000,272773
Oumé,Gôh-Djiboua,,,6.3833,-5.4167,260786
Man,Montagnes,,,7.4000,-7.5500,241969
Duekoué,Montagnes,,,6.7333,-7.3500,220953
Bingerville,Abidjan,,,5.3500,-3.9000,204656
Divo,Gôh-Djiboua,,,5.8333,-5.3667,179455
Abengourou,Comoé,,,6.7333,-3.4833,164424
Ferkessédougou,Savanes,,,9.5833,-5.2000,160267
Adzopé,Lagunes,,,6.1667,-3.9833,156488
Bondoukou,Zanzan,,,8.0333,-2.8000,141568
Dabou,Lagunes,,,5.3167,-4.3833,138083
Sinfra,Sassandra-Marahoué,,,6.8500,-5.9167,137210
Agboville,Lagunes,,,5.9333,-4.2167,135082
Grand-Bassam,Comoé,,,5.2000,-3.7333,124567
Daoukro,Lacs,,,7.0500,-3.9667,101136
Aboisso,Comoé,,,5.4667,-3.2000,100903
Odienné,Denguélé,,,9.5000,-7.5667,86279
Dimbokro,Lacs,,,6.6500,-4.7000,70198
Séguéla,Woroba,,,7.9667,-6.6667,67240
Yamoussoukro,Yamoussoukro,,,6.8161,-5.2742,37253
Bangolo,Montagnes,,,7.0123,-7.4864,
Anyama,Abidjan,,,5.4946,-4.0518,
Méagui,Bas-Sassandra,,,5.4048,-6.5584,